uni,city,zip,latitude,longitude,admission,act,sat,under,cost,debt
Southern Connecticut State University,New Haven,06515-1355,41.331852,-72.948806,0.715411559,20,932,8133,19704,15119
Texas A & M University-Kingsville,Kingsville,78363,27.524852,-97.882342,0.835680751,19,922,8815,19700,13720
University of South Dakota,Vermillion,57069-2390,42.784558,-96.924664,0.888198758,23,1044,6331,19695,15500
Lamar University,Beaumont,77705,30.044274,-94.073389,0.788057743,21,963,9043,19692,12244
The University of Tennessee-Chattanooga,Chattanooga,37403-2598,35.048247,-85.299812,0.772807136,24,1088,10213,19619,11250
The University of Texas at Tyler,Tyler,75799-6699,32.314724,-95.249096,0.83580705,23,1051,5550,19552,12208
Western State Colorado University,Gunnison,81231,38.547421,-106.91971,0.974145121,22,990,1936,19547,12000
Eastern Michigan University,Ypsilanti,48197,42.245751,-83.624499,0.688673139,22,1028,17723,19532,18538
Lake Superior State University,Sault Ste Marie,49783,46.491736,-84.3655,0.910923277,22,1028,2213,19524,15250
University of Southern Mississippi,Hattiesburg,39406-0001,31.327499,-89.33791,0.667350427,22,1029,11939,19493,15500
Bowie State University,Bowie,20715-9465,39.018185,-76.759721,0.550626482,17,867,4401,19456,16375
Texas State University,San Marcos,78666,29.889202,-97.936392,0.728995818,23,1032,32177,19428,14500
University of North Texas,Denton,76203-1277,33.210958,-97.151211,0.662616034,24,1090,29758,19405,13412
Florida Agricultural and Mechanical University,Tallahassee,32307,30.428554,-84.285644,0.489535579,20,948,7995,19395,21378
Austin Peay State University,Clarksville,37044,36.533319,-87.354081,0.89265195,22,1010,9003,19386,14000
Oakland University,Rochester Hills,48309-4401,42.67449,-83.220523,0.670019157,23,1070,16528,19385,17858
University of Idaho,Moscow,83844-2282,46.726894,-117.024296,0.67480916,24,1057,8162,19381,17500
Truman State University,Kirksville,63501-4221,40.188238,-92.580531,0.744810745,27,1226,5394,19368,17500
Arkansas State University-Main Campus,Jonesboro,72401,35.842779,-90.680478,0.723948093,24,1088,9139,19359,12316
Mississippi Valley State University,Itta Bena,38941-1400,33.514142,-90.341274,0.163291966,17,825,1813,19331,18749
South Dakota State University,Brookings,57007-1898,44.31942,-96.783415,0.920124683,23,1068,10003,19330,15000
West Liberty University,West Liberty,26074,40.162473,-80.604054,0.723628692,21,965,2264,19324,16750.5
Florida Atlantic University,Boca Raton,33431-0991,26.372536,-80.102293,0.660264989,23,1058,24228,19310,12000
University of South Florida-Main Campus,Tampa,33620-9951,28.056647,-82.415876,0.509441247,26,1161,30279,19306,16500
Norfolk State University,Norfolk,23504-8000,36.848262,-76.26393,0.656727015,18,866,5284,19299,21693
Missouri State University-Springfield,Springfield,65897,37.197983,-93.276821,0.850323222,24,1090,16177,19251,14500
Middle Tennessee State University,Murfreesboro,37132,35.849139,-86.362094,0.720624399,22,1032,19928,19251,14250
Southern Oregon University,Ashland,97520,42.186467,-122.694034,0.773709264,23,1029,4397,19231,17500
University of Northern Colorado,Greeley,80639,40.403178,-104.701721,0.708849445,22,1033,9104,19187,14750
Chicago State University,Chicago,60628-1598,41.718813,-87.610344,0.299619358,18,870,3874,19120,20700
University of Hawaii at Manoa,Honolulu,96822-2217,21.292648,-157.816607,0.788236856,23,1070,13667,19106,13046
University of Colorado Denver/Anschutz Medical Campus,Denver,80217-3364,39.74603,-104.999181,0.729916898,23,1055,10786,19096,14000
Baptist Memorial College of Health Sciences,Memphis,38104,35.138415,-90.027501,0.537267081,24,1110,1169,19085,20904
University of Michigan-Flint,Flint,48502-1950,43.018777,-83.688474,0.786392405,21,993,6565,19079,19000
The University of Texas at San Antonio,San Antonio,78249-1644,29.582418,-98.621386,0.759124088,22,1037,23815,19054,15500
Boise State University,Boise,83725,43.604403,-116.205789,0.770023304,23,1042,16206,19053,15000
Adams State University,Alamosa,81101,37.477238,-105.880943,0.65289548,20,955,2110,19043,10315
California State Polytechnic University-Pomona,Pomona,91768,34.054273,-117.819019,0.518733043,24,1074,22269,19042,15000
Southwest Minnesota State University,Marshall,56258-5468,44.455023,-95.75983,0.669385536,21,990,2359,19028,14437
Appalachian State University,Boone,28608,36.214844,-81.680234,0.626610395,25,1148,16116,19017,15502.5
University of Utah,Salt Lake City,84112-9008,40.762484,-111.846044,0.814211628,25,1131,22804,18931,12500
Angelo State University,San Angelo,76909,31.44145,-100.466495,0.824435883,21,976,5290,18915,11492
University of Colorado Colorado Springs,Colorado Springs,80918,38.892735,-104.800296,0.924044002,24,1089,9310,18890,12000
Southern Arkansas University Main Campus,Magnolia,71753,33.291195,-93.235087,0.714228617,21,989,2784,18887,9500
Delta State University,Cleveland,38733,33.747586,-90.73544,0.923387097,21,968,2778,18887,12000
Montana State University,Bozeman,59717,45.666829,-111.049918,0.838466556,25,1128,13117,18886,13775
Southern University and A & M College,Baton Rouge,70813,30.524558,-91.190105,0.536463536,19,910,5133,18882,19750
Northern Michigan University,Marquette,49855,46.558037,-87.403857,0.72094723,22,1010,7718,18865,14000
Iowa State University,Ames,50011-2030,42.026368,-93.648353,0.869068971,25,1145,28336,18828,19000
Francis Marion University,Florence,29506,34.192277,-79.655515,0.591114658,19,933,3249,18828,19500
Florida International University,Miami,33199,25.757111,-80.377591,0.527781908,24,1089,39102,18784,13149
North Dakota State University-Main Campus,Fargo,58108-6050,46.894523,-96.805689,0.827411168,24,1092,11763,18766,15000
New Mexico Institute of Mining and Technology,Socorro,87801,34.066035,-106.907491,0.363908275,26,1193,1525,18762,9038.5
Indiana University-Purdue University-Fort Wayne,Fort Wayne,46805-1499,41.115418,-85.111747,0.908741878,22,1002,9314,18755,14875
Texas A & M University-Corpus Christi,Corpus Christi,78412-5503,27.718601,-97.331933,0.846173149,21,970,9074,18745,12187
Minnesota State University Moorhead,Moorhead,56563,46.866482,-96.763376,0.841911765,23,1049,5496,18680,15700
Henderson State University,Arkadelphia,71999-0001,34.127792,-93.060313,0.62783534,21,989,3226,18679,9500
Lane College,Jackson,38301-4598,35.628197,-88.806832,0.432728518,16,762,1262,18673,15000
California State University-Northridge,Northridge,91330,34.23671,-118.526817,0.528574852,19,914,35409,18665,11509
University of North Carolina at Greensboro,Greensboro,27402-6170,36.067503,-79.809844,0.607270916,23,1043,14497,18640,15250
Cleary University,Howell,48843,42.586573,-83.881516,0.792899408,21,990,438,18625,19640
University of Northern Iowa,Cedar Falls,50614-0005,42.514923,-92.459703,0.777186312,23,1050,9882,18618,17000
University of North Carolina at Asheville,Asheville,28804-8510,35.616618,-82.565259,0.731391586,26,1191,3425,18574,14250
Bemidji State University,Bemidji,56601,47.482505,-94.874529,0.935272045,22,1010,4386,18549,12602.5
Western Carolina University,Cullowhee,28723-9646,35.311102,-83.182104,0.431094947,22,1035,8603,18549,15000
University of South Alabama,Mobile,36688-0002,30.695081,-88.18189,0.833485819,23,1048,11267,18525,13000
Albany State University,Albany,31705,31.571395,-84.14306,0.472910542,18,875,3261,18488,24370.5
University of Southern Indiana,Evansville,47712,37.966188,-87.67666,0.713428228,22,1001,8233,18469,13500
University of Wisconsin-Stout,Menomonie,54751,44.88861,-91.929461,0.90801964,23,1050,8094,18461,17707.5
Georgia Southwestern State University,Americus,31709-4693,32.058198,-84.217755,0.696352841,21,970,2415,18389,15000
Saginaw Valley State University,University Center,48710,43.55187,-83.96434,0.799553144,22,1030,8453,18378,17021
University of Central Arkansas,Conway,72035-0001,35.078196,-92.45931,0.942635659,23,1049,9232,18354,11000
North Carolina Central University,Durham,27707,35.974237,-78.898602,0.432153655,19,886,5554,18354,23485.5
University of South Florida-St Petersburg,St. Petersburg,33701-9807,27.762618,-82.635657,0.509441247,26,1161,3829,18325,16500
Southern Utah University,Cedar City,84720,37.674617,-113.070146,0.61030479,23,1063,5514,18315,8000
Worcester State University,Worcester,01602-2597,42.267534,-71.844019,0.613035113,22,997,5063,18252,13949
California State University-Sacramento,Sacramento,95819-2694,38.55745,-121.42194,0.72649652,20,937,26400,18241,13479
North Carolina A & T State University,Greensboro,27411,36.076737,-79.770152,0.570035336,19,910,8894,18198,19326
Morehead State University,Morehead,40351,38.188462,-83.429742,0.84434683,22,1029,7212,18191,14102
Alabama State University,Montgomery,36104-0271,32.364317,-86.295677,0.532646944,18,851,4811,18184,14362
Eastern Kentucky University,Richmond,40475-3102,37.740396,-84.301356,0.738747954,22,1008,13323,18181,14213
Colorado Mesa University,Grand Junction,81501-3122,39.076354,-108.540281,0.822670966,21,970,8413,18169,10796
University of Wyoming,Laramie,82071,41.311943,-105.57204,0.97659422,25,1118,9910,18145,12000
Saint Cloud State University,Saint Cloud,56301-4498,45.552418,-94.153,0.821915502,22,1010,10878,18142,15000
Northern State University,Aberdeen,57401-7198,45.452555,-98.4837,0.828861494,22,1025,1693,18137,12500
SUNY Buffalo State,Buffalo,14222,42.934199,-78.88067,0.61547014,22,939,9185,18129,15000
University of Central Missouri,Warrensburg,64093,38.755882,-93.737445,0.779488291,22,1010,9017,18112,15000
The University of Montana,Missoula,59812,46.861074,-113.98294,0.927221703,23,1075,10969,18059,14500
University of North Carolina at Charlotte,Charlotte,28223-0001,35.306834,-80.73579,0.640871236,23,1079,22120,18044,16000
West Texas A & M University,Canyon,79016-0001,34.981996,-101.9158,0.674245319,21,970,7121,18039,12500
University of Wisconsin-Eau Claire,Eau Claire,54702-4004,44.798431,-91.500432,0.836922511,24,1110,9987,18013,17245.5
Tarleton State University,Stephenville,76401-0000,32.215665,-98.22008,0.525388385,21,961,10214,17964,12500
University of Maine at Fort Kent,Fort Kent,04743-1292,47.250306,-68.588364,0.74610245,18,899,956,17932,12500
Dakota State University,Madison,57042-1799,44.0127,-97.109609,0.841968912,22,1026,1770,17913,11615
Auburn University at Montgomery,Montgomery,36117-3596,32.369939,-86.177351,0.801695714,22,1009,4304,17903,9500
Southern Polytechnic State University,Marietta,30060-2896,33.938992,-84.519276,0.790573112,25,1134,5890,17894,12500
Fitchburg State University,Fitchburg,01420-2697,42.589345,-71.789354,0.723125328,21,1004,4134,17894,15000
Calvary Bible College and Theological Seminary,Kansas City,64147-1341,38.838169,-94.546238,1,22,1014,225,17891,10000
Prairie View A & M University,Prairie View,77446,30.094591,-95.992066,0.391269036,18,850,6905,17876,16399
Louisiana Tech University,Ruston,71272,32.525518,-92.64964,0.65034965,24,1104,7272,17862,13125
University of West Alabama,Livingston,35470,32.59244,-88.186077,0.719921105,21,990,1916,17839,12500
University of Wisconsin-La Crosse,La Crosse,54601-9959,43.815295,-91.230149,0.762936611,25,1145,9492,17828,18098
Colorado State University-Pueblo,Pueblo,81001-4901,38.309219,-104.579846,0.92776204,21,971,4227,17795,12250
University of Nevada-Las Vegas,Las Vegas,89154,36.106994,-115.141153,0.868925486,22,1000,23329,17781,11377
California State University-Long Beach,Long Beach,90840-0115,33.782752,-118.1123,0.35459335,23,1054,31494,17779,13750
University of Michigan-Dearborn,Dearborn,48128-1491,42.317287,-83.231417,0.626658973,24,1105,6906,17766,18750
Trinity Baptist College,Jacksonville,32221,30.323755,-81.705655,0.63681592,19,899,352,17757,5500
The University of West Florida,Pensacola,32514-5750,30.542855,-87.218125,0.416674968,24,1065,9794,17697,12500
Central State University,Wilberforce,45384-1004,39.716465,-83.876795,0.377187079,17,804,1728,17695,18903.5
California State University-San Marcos,San Marcos,92096-0001,33.129115,-117.158013,0.618009036,20,948,11506,17692,12500
Northwestern State University of Louisiana,Natchitoches,71497-0002,31.750675,-93.097715,0.729834791,22,1027,6828,17659,12500
Concordia College Alabama,Selma,36701,32.42443,-87.023531,0.532846715,21,942,322,17603,9500
West Virginia University,Morgantown,26506-6201,39.63468,-79.953926,0.847189911,24,1065,21945,17585,14063
Florida Gulf Coast University,Fort Myers,33965-6565,26.464262,-81.773578,0.588833224,23,1059,13253,17539,11786
Western Kentucky University,Bowling Green,42101-1000,36.985718,-86.455898,0.933230915,23,1047,15388,17493,15040.5
Southeast Missouri State University,Cape Girardeau,63701,37.31575,-89.529119,0.847789474,23,1050,9382,17405,13257.5
University of New Mexico-Main Campus,Albuquerque,87106,35.083868,-106.620155,0.453793542,23,1060,20261,17401,13191
Northwest Missouri State University,Maryville,64468-6001,40.352706,-94.884341,0.765818793,23,1051,5222,17376,14958
